,Moving Beads,,,,,,,,,,,,,,(?m/pixel) Calc,,4.69 ± 0.23 ?m,,,,,,,,
Video Title,Flow (ml/hr),Frame Range,?frames,Initial x,Final x,Initial y,Final y,Displace X (pixels) per frame,Velocity (?m/s),Dist per Pixel (?m/pixel),Displace (?m),,average displacement,avg velocity,rad (pixels),Dia (pixels),Diameter (?m),Dist per pixel (?m/pixel),,,,,,,
10 move 1,10,810,16,97,599,94,70,31.375,941.25,0.049608631,24.9035329,10,0.066144842,746.9642857,47.27,94.54,4.69,0.049608631,,,,,,,
10 move 1,10,1970,7,329,438,416,394,15.57142857,467.1428571,0.049608631,5.407340808,20,0.115753473,1023.75,,,,,,,,,,,
10 move 1,10,3100,16,149,593,179,135,27.75,832.5,0.049608631,22.02623228,30,0.198434525,1463.166667,Used trapped bead videos for this Calc,,,,,,,,,,
20 move 1,20,150,18,126,579,152,148,25.16666667,755,0.049608631,22.47270996,40,0.248043156,858.7142857,,,,,,,,,,,
20 move 1,20,1050,8,94,469,222,203,46.875,1406.25,0.049608631,18.60323673,50,0.297651788,3130.666667,,,,,,,,,,,
20 move 1,20,1440,15,102,557,180,178,30.33333333,910,0.049608631,22.57192723,60,0.330724208,1510,,,,,,,,,,,
30 move 1,30,840,6,108,401,235,255,48.83333333,1465,0.049608631,14.53532896,,,,,,,,,,,,,,
30 move 2,30,420,5,129,431,257,265,60.4,1812,0.049608631,14.98180664,,,,,,,,,,,,,,
30 move 3,30,720,12,111,556,178,205,37.08333333,1112.5,0.049608631,22.07584091,,,,,,,,,,,,,,
40 move 1,40,930,21,112,586,154,193,22.57142857,677.1428571,0.049608631,23.51449122,,,,,,,,,,,,,,
40 move 2,40,425,10,181,516,447,451,33.5,1005,0.049608631,16.61889147,,,,,,,,,,,,,,
40 move 2,40,1185,15,56,503,213,247,29.8,894,0.049608631,22.17505818,,,,,,,,,,,,,,
50 move 1,50,225,5,120,572,327,363,90.4,2712,0.049608631,22.42310133,,,,,,,,,,,,,,
50 move 2,50,1122,3,132,453,200,165,107,3210,0.049608631,15.92437064,,,,,,,,,,,,,,
50 move 2,50,1520,3,128,475,152,182,115.6666667,3470,0.049608631,17.21419505,,,,,,774.7239229,,,,,,,,
60 move 1,60,642,10,80,309,253,269,22.9,687,0.049608631,11.36037656,,,,,,1047.051814,,,,,,,,
60 move 2,60,600,6,99,384,410,433,47.5,1425,0.049608631,14.13845991,,,,,,1319.379705,,,,,,,,
60 move 2,60,1128,5,171,574,353,394,80.6,2418,0.049608631,19.9922784,,,,,,1591.707596,,,,,,,,
,,,,,,,,,,,,,,,,,1864.035488,,,,,,,,
,,,,,,,,,,,,,,,,,2136.363379,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
